Model	PRAUC
cnn-lstm-imbalance-lr-1e-3	0.6785320796977486
cnn-lstm-imbalance-lr-1e-3	0.7054998864216997
cnn-lstm-imbalance-lr-1e-3	0.7243413272798631
cnn-lstm-imbalance-lr-1e-3	0.6955848453616854
cnn-lstm-imbalance-lr-1e-3	0.7206918449285838
cnn-lstm-imbalance-lr-1e-3	0.6516880885625644
cnn-lstm-imbalance-lr-1e-3	0.6873388981900275
cnn-lstm-imbalance-lr-1e-3	0.6794928032086125
cnn-lstm-imbalance-lr-1e-3	0.607900841237866
cnn-lstm-imbalance-lr-1e-3	0.6076824271791021
cnn-lstm-imbalance-lr-1e-3	0.7240459132731305
cnn-lstm-imbalance-lr-1e-3	0.6859917069916934
cnn-lstm-imbalance-lr-1e-3	0.6715564214224402
cnn-lstm-imbalance-lr-1e-3	0.5682983202888955
cnn-lstm-imbalance-lr-1e-3	0.6387921337203157
cnn-lstm-imbalance-lr-1e-3	0.6400173254972821
cnn-lstm-imbalance-lr-1e-3	0.6842641291971405
cnn-lstm-imbalance-lr-1e-3	0.6975287808053783
cnn-lstm-imbalance-lr-1e-3	0.6150667089739291
cnn-lstm-imbalance-lr-1e-3	0.6912668172916128
cnn-lstm-imbalance-lr-1e-3	0.506230472184411
cnn-lstm-imbalance-lr-1e-3	0.6962314502650522
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7264231964331609
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6757949615794653
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7565066764979147
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7657300674568608
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7080877005326922
pcv2-l24-d0768-checkpoints-lr-1e-4	0.620027771845009
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7582754546556836
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6847369356405879
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7630483806940342
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7351992876730176
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7576999889135436
pcv2-l24-d0768-checkpoints-lr-1e-4	0.5911315128114557
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7390251195147799
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7031902323848637
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6627326348798162
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6896307801005098
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7506917071183539
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7553461839852196
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7406090039689435
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7485012970095466
pcv2-l24-d0768-checkpoints-lr-1e-4	0.720733673898901
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7434966609420701
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7343189040752873
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7572901968079662
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7263326397338583
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7215772630183775
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7341231589663121
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6927658852281373
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7594258036134631
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7418655732192684
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7403457998741276
pcv2-l24-d0768-checkpoints-lr-1e-4	0.609834778253483
pcv2-l24-d0768-checkpoints-lr-1e-4	0.419668612082244
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6300166613887582
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7367755308064008
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7456418649510967
pcv2-l24-d0768-checkpoints-lr-1e-4	0.5953391407338829
pcv2-l24-d0768-checkpoints-lr-1e-4	0.711089688215098
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7162158263145706
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7538584188126576
pcv2-l24-d0768-checkpoints-lr-1e-4	0.763543442673538
pcv2-l24-d0768-checkpoints-lr-1e-4	0.617539398598716
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7131606967492045
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6666233813796628
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6518002629995174
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7082758215824541
pcv2-l24-d0768-checkpoints-lr-1e-4	0.4982416111726702
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7151213287344771
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6761375988537158
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7085351871523138
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7063696554224022
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7395962910297389
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6987441224983447
pcv2-l24-d0768-checkpoints-lr-1e-4	0.673110527450088
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7566979668188677
pcv2-l24-d0768-checkpoints-lr-1e-4	0.7435963281699398
pcv2-l24-d0768-checkpoints-lr-1e-4	0.582778736454884
pcv2-l24-d0768-checkpoints-lr-1e-4	0.522776402545251
pcv2-l24-d0768-checkpoints-lr-1e-4	0.6730841031680288
pcv2-l24-d0768-checkpoints-lr-1e-4	0.5794350005278955
pcv2-l24-d0768-checkpoints-lr-1e-4	0.743133881506996
