model	orthogroup	scc	count
agront	3I2QT	0.6703486059682624	37.0
agront	3I2QW	0.31494317379157577	28.0
agront	3I2QX	0.32653068881678876	28.0
agront	3I2QZ	0.25750665167489406	62.0
agront	3I2R0	0.2129592422233886	31.0
agront	3I2R1	-0.5175579813787049	53.0
agront	3I2R4	-0.43785545121685104	26.0
agront	3I2R5	-0.028236697193930946	27.0
agront	3I2R6	-0.4805373281448083	27.0
agront	3I2R7	-0.5764065668243313	53.0
agront	3I2R8	0.17138827197596723	54.0
agront	3I2R9	0.09083975743611637	27.0
agront	3I2RA	0.23278885827516343	77.0
agront	3I2RB	0.6998647084343772	52.0
agront	3I2RC	-0.44465870100552934	26.0
agront	3I2RD	-0.23641621561267306	89.0
agront	3I2RE	-0.6041873373731472	26.0
agront	3I2RF	0.7068543805423124	44.0
agront	3I2RG	-0.2700473474136122	61.0
agront	3I2RH	-0.5746128421439489	56.0
agront	3I2RI	0.6014500407594037	44.0
agront	3I2RJ	0.6719453222009121	23.0
agront	3I2RK	0.03334895690954713	87.0
agront	3I2RM	0.314597005385795	81.0
agront	3I2RP	0.21679523258538583	85.0
agront	3I2RQ	0.7400934394544952	169.0
agront	3I2RR	0.5740064872876397	36.0
agront	3I2RT	-0.46204094400328	26.0
agront	3I2RU	-0.17231641168189624	22.0
agront	3I2RV	0.79790328315001	58.0
agront	3I2RW	0.20928820279479385	27.0
agront	3I2RX	0.7897181889043815	58.0
agront	3I2RY	0.1498932772708598	27.0
agront	3I2RZ	0.4400669503560232	53.0
agront	3I2S0	-0.26008576892015983	27.0
agront	3I2S1	0.7809768485093141	199.0
agront	3I2S2	-0.39506056851115445	26.0
agront	3I2S3	-0.11073061869610253	26.0
agront	3I2S4	0.07539422526563809	28.0
agront	3I2S6	0.7049523616352146	55.0
agront	3I2S7	0.13908569308613658	44.0
agront	3I2S8	0.014077382871739196	26.0
agront	3I2S9	0.6016955296852599	72.0
agront	3I2SA	-0.014539594494067236	31.0
agront	3I2SB	0.1496810614319234	26.0
agront	3I2SC	0.6000363606456945	35.0
agront	3I2SD	0.05847153445006351	26.0
agront	3I2SE	0.015062805746913896	23.0
agront	3I2SF	-0.03498513633455292	26.0
agront	3I2SG	0.06041069956369233	57.0
agront	3I2SH	-0.14686703216968522	26.0
agront	3I2SI	-0.07255349179102906	53.0
agront	3I2SJ	-0.2084886190231285	47.0
agront	3I2SK	0.20944207628236375	30.0
agront	3I2SM	0.17542255924635497	46.0
agront	3I2SN	-0.2525442782755013	27.0
agront	3I2SP	0.7765567491730884	78.0
agront	3I2SQ	0.3904711290862563	26.0
agront	3I2SR	0.2637231261126142	53.0
agront	3I2SS	-0.04050841099965904	26.0
agront	3I2ST	-0.021997218838012738	26.0
agront	3I2SU	0.30398359138073955	26.0
agront	3I2SV	0.12348214384043213	26.0
agront	3I2SW	0.6831950346985264	84.0
agront	3I2SX	0.43001483783498845	29.0
agront	3I2SZ	0.4634916299601567	26.0
agront	3I2T0	0.2495765268884897	53.0
agront	3I2T1	-0.03482320645388071	28.0
agront	3I2T2	0.3307113736495192	26.0
agront	3I2T3	-0.5984624432156025	52.0
agront	3I2T4	-0.6335271875434372	25.0
agront	3I2T5	0.3170144137652866	27.0
agront	3I2T6	0.2553104502178477	54.0
agront	3I2T8	-0.08631143117209869	52.0
agront	3I2T9	0.566927124958262	52.0
agront	3I2TA	-0.5899637635855902	52.0
agront	3I2TB	-0.25154017364212855	26.0
agront	3I2TC	0.1582646555440923	27.0
agront	3I2TD	0.8532124454392113	27.0
agront	3I2TE	0.15841238137912225	25.0
agront	3I2TF	-0.26509016817201647	26.0
agront	3I2TG	0.09984612900244763	26.0
agront	3I2TH	0.33366808570676176	46.0
agront	3I2TI	0.7007861589390868	155.0
agront	3I2TJ	0.6010419794109787	65.0
agront	3I2TK	-0.7795346013265008	52.0
agront	3I2TM	0.07327395594293008	243.0
agront	3I2TQ	-0.18732472027414707	25.0
agront	3I2TR	0.1508097165991903	31.0
agront	3I2TS	0.542413062236635	62.0
agront	3I2TU	0.10432347988925594	26.0
agront	3I2TV	0.383405956225555	203.0
agront	3I2TW	0.6143285773729646	54.0
agront	3I2TX	0.5861378305244157	85.0
agront	3I2TY	0.9131032652686656	86.0
agront	3I2TZ	-0.39597414563488326	47.0
agront	3I2U0	-0.3714313399675336	25.0
agront	3I2U1	0.5976388786882144	31.0
agront	3I2U2	-0.2767954245130417	26.0
agront	3I2U3	0.3674662921434625	26.0
agront	3I2U5	0.19295249128416533	26.0
agront	3I2U6	-0.017504855772431695	26.0
agront	3I2U7	-0.4526172800867922	26.0
agront	3I2U8	0.010259918520667606	26.0
agront	3I2U9	-0.4740559019880052	27.0
agront	3I2UA	0.6750018597577355	59.0
agront	3I2UC	0.278346806742746	27.0
agront	3I2UD	-0.237182901714649	26.0
agront	3I2UE	-0.04827946152330697	26.0
agront	3I2UF	0.7942028587741745	56.0
agront	3I2UG	0.8362990943451512	63.0
agront	3I2UH	0.4115908441755831	89.0
agront	3I2UJ	-0.23920024237877902	42.0
agront	3I2UK	-0.01925429311629856	27.0
agront	3I2UM	0.26432830664961204	52.0
agront	3I2UN	-0.13224862835186407	34.0
agront	3I2UP	0.2668319657931972	29.0
agront	3I2UQ	-0.001037593415984319	26.0
agront	3I2UR	0.15579616215316688	57.0
agront	3I2US	0.3951671466472724	52.0
agront	3I2UT	0.09641510502867617	26.0
agront	3I2UU	-0.1440369397139314	27.0
agront	3I2UX	0.48596877084601714	26.0
agront	3I2UY	0.10801450528517337	27.0
agront	3I2UZ	-0.26197439940255585	31.0
agront	3I2V0	0.0034396868940802334	37.0
agront	3I2V1	-0.4528498885544399	26.0
agront	3I2V2	0.7817213264417814	44.0
agront	3I2V4	0.8015388454511737	49.0
agront	3I2V5	0.03308769394563808	22.0
agront	3I2V6	0.000835191510439306	28.0
agront	3I2V7	0.714904528664223	53.0
