species	context	model	ap	color	alpha	baseline
hordeum_vulgare	c600	pcv2-l48-d1024	0.11773246829332534	C0	0.7	0.004014915456939465
hordeum_vulgare	c600	pcv2-l48-d1536	0.10973159935172189	C0	1.0	0.004014915456939465
hordeum_vulgare	c600	agront	0.07427211240492569	gray	1.0	0.004014915456939465
hordeum_vulgare	c600	sup_pcv2-l24-d0768	0.008502550363736662	C1	1.0	0.004014915456939465
hordeum_vulgare	c600	cnn-lstm	0.009451655458914361	C1	0.5	0.004014915456939465
hordeum_vulgare	c1000	pcv2-l24-d0768	0.20239259295175385	C0	0.4	0.006691030240710757
hordeum_vulgare	c1000	pcv2-l48-d1024	0.29419601545829865	C0	0.7	0.006691030240710757
hordeum_vulgare	c1000	pcv2-l48-d1536	0.1988778484661819	C0	1.0	0.006691030240710757
hordeum_vulgare	c1000	agront	0.19293214344479553	gray	1.0	0.006691030240710757
hordeum_vulgare	c1000	sup_pcv2-l24-d0768	0.012348007959124038	C1	1.0	0.006691030240710757
hordeum_vulgare	c1000	cnn-lstm	0.017602274841525583	C1	0.5	0.006691030240710757
oryza_sativa	c300	pcv2-l24-d0768	0.26378195373543145	C0	0.4	0.019403009340172497
oryza_sativa	c300	pcv2-l48-d1024	0.35275707756827435	C0	0.7	0.019403009340172497
oryza_sativa	c300	pcv2-l48-d1536	0.28987955583488656	C0	1.0	0.019403009340172497
oryza_sativa	c300	agront	0.1885741198184265	gray	1.0	0.019403009340172497
oryza_sativa	c300	sup_pcv2-l24-d0768	0.07717914304667316	C1	1.0	0.019403009340172497
oryza_sativa	c300	cnn-lstm	0.054043944705848154	C1	0.5	0.019403009340172497
oryza_sativa	c600	pcv2-l24-d0768	0.5113105818213552	C0	0.4	0.03897359989935972
oryza_sativa	c600	pcv2-l48-d1024	0.3997107094305543	C0	0.7	0.03897359989935972
oryza_sativa	c600	pcv2-l48-d1536	0.5220645029933308	C0	1.0	0.03897359989935972
oryza_sativa	c600	agront	0.4146865290298822	gray	1.0	0.03897359989935972
oryza_sativa	c600	sup_pcv2-l24-d0768	0.17200562184826412	C1	1.0	0.03897359989935972
oryza_sativa	c600	cnn-lstm	0.142907905547725	C1	0.5	0.03897359989935972
oryza_sativa	c1000	pcv2-l24-d0768	0.6193907335789215	C0	0.4	0.06537771686136419
oryza_sativa	c1000	pcv2-l48-d1024	0.552219202573256	C0	0.7	0.06537771686136419
